category,cores,memory,disk,cpu_time,wall_time
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Split,1,5,13155,203.09,260.195
Split,1,1304,657,335.098,348.18
Analysis,1,291,670,16.67,16.693
Analysis,1,249,670,16.49,16.5
Analysis,1,253,670,15.06,15.078
Analysis,1,239,670,26.236,26.425
Analysis,1,255,670,16.93,16.948
Analysis,1,272,670,18.01,18.025
Analysis,1,256,670,28.264,28.322
Analysis,1,269,670,26.87,26.896
Analysis,1,288,670,29.56,29.596
Analysis,1,233,670,23.627,23.801
Analysis,1,276,670,23.61,23.633
Analysis,1,275,670,17.55,17.571
Analysis,1,251,670,25.729,25.91
Analysis,1,277,670,16.83,16.849
Analysis,1,283,670,17.75,17.771
Analysis,1,238,670,22.754,22.779
Analysis,1,259,670,23.79,23.865
Analysis,1,245,670,24.46,24.488
Analysis,1,263,670,27.132,27.233
Analysis,1,247,670,23.939,23.968
Analysis,1,248,670,27.611,27.632
Analysis,1,239,670,25.873,25.974
Analysis,1,282,670,21.5,21.558
Analysis,1,255,670,24.999,25.058
Analysis,1,256,670,23.52,23.543
Analysis,1,262,670,26.75,26.776
Analysis,1,254,670,23.172,23.198
Analysis,1,231,670,25.43,25.449
Analysis,1,288,670,28.868,28.903
Analysis,1,237,670,24.052,24.112
Analysis,1,261,670,27.02,27.042
Analysis,1,256,670,17.68,17.692
Analysis,1,247,670,23.176,23.335
Analysis,1,259,670,24.2,24.294
Analysis,1,261,670,16.46,16.481
Analysis,1,237,670,24.527,24.631
Analysis,1,255,670,22.55,22.574
Analysis,1,255,670,27.92,27.949
Analysis,1,287,670,22.224,22.271
Analysis,1,248,670,24.968,25.095
Analysis,1,287,670,16.47,16.487
Analysis,1,285,670,23.753,23.77
Analysis,1,284,670,20.67,20.688
Analysis,1,267,670,23.891,24.022
Analysis,1,238,670,28.25,28.316
Analysis,1,247,670,17.76,17.792
Analysis,1,261,670,18.75,18.769
Analysis,1,243,670,18.44,18.46
Analysis,1,242,670,21.257,21.353
Analysis,1,252,670,23.646,23.719
Analysis,1,278,670,20.04,20.075
Analysis,1,283,670,21.669,21.68
Analysis,1,237,670,23.35,23.367
Analysis,1,255,670,23.932,24.057
Analysis,1,290,670,21.81,21.834
Analysis,1,288,670,25.59,25.669
Analysis,1,249,670,21.69,21.726
Analysis,1,258,670,22.387,22.394
Analysis,1,279,670,22.1,22.124
Analysis,1,254,670,24.097,24.182
Analysis,1,262,670,18.66,18.682
Analysis,1,296,670,28.627,28.712
Analysis,1,242,670,24.214,24.261
Analysis,1,288,670,21.65,21.665
Analysis,1,256,670,24.253,24.305
Analysis,1,255,670,16.58,16.604
Analysis,1,256,670,19.06,19.089
Analysis,1,283,670,16.45,16.467
Analysis,1,261,670,27.085,27.178
Analysis,1,269,670,17.21,17.227
Analysis,1,252,670,18,18.025
Analysis,1,249,670,18.91,18.936
Analysis,1,280,670,16.83,16.856
Analysis,1,293,670,20.37,20.436
Analysis,1,253,670,15.48,15.49
Analysis,1,277,670,16.52,16.546
Analysis,1,257,670,17.56,17.577
Analysis,1,255,670,17.79,17.805
Analysis,1,255,670,17.85,17.88
Analysis,1,256,670,15.73,15.748
Analysis,1,279,670,18.68,18.696
Analysis,1,240,670,16.94,16.959
Analysis,1,284,670,18.27,18.289
Analysis,1,269,670,19.12,19.135
Analysis,1,285,670,20.48,20.51
Analysis,1,254,670,17.99,18.01
Analysis,1,263,670,16.56,16.582
Analysis,1,240,670,22.24,22.305
Analysis,1,275,670,28.36,28.434
Analysis,1,271,670,18.04,18.058
Analysis,1,243,670,17.48,18.054
Analysis,1,254,670,18.75,18.765
Analysis,1,251,670,15.68,15.694
Analysis,1,234,670,17.95,17.971
Analysis,1,248,670,16.1,16.128
Analysis,1,240,670,15.68,15.69
Analysis,1,281,670,27.21,27.236
Analysis,1,278,670,18.67,18.695
Analysis,1,279,670,26.382,26.576
Analysis,1,258,670,26.71,26.737
Analysis,1,279,670,25.347,25.426
Analysis,1,247,670,26.999,27.175
Analysis,1,242,670,28.932,29.224
Analysis,1,281,670,25.47,25.496
Analysis,1,285,670,25.395,25.405
Analysis,1,253,670,27.92,28.088
Analysis,1,280,670,29.167,29.207
Analysis,1,239,670,24.264,24.345
Analysis,1,267,670,28.02,28.041
Analysis,1,247,670,27.6,27.621
Analysis,1,282,670,27.23,27.376
Analysis,1,261,670,17.22,17.236
Analysis,1,263,670,15.9,15.911
Analysis,1,282,670,26.3,26.331
Analysis,1,266,670,25.58,25.597
Analysis,1,250,670,28.24,28.25
Analysis,1,249,670,26.995,27.045
Analysis,1,259,670,28.24,28.307
Analysis,1,285,670,28.377,28.4
Analysis,1,265,670,24.64,24.668
Analysis,1,248,670,28.147,28.192
Analysis,1,265,670,29.31,29.337
Analysis,1,287,670,29.11,29.21
Analysis,1,255,670,24.497,24.51
Analysis,1,251,670,24.15,24.172
Analysis,1,279,670,24.812,24.949
Analysis,1,258,670,21.266,21.344
Analysis,1,272,670,25.84,25.881
Analysis,1,247,670,22.37,22.396
Analysis,1,274,670,25.17,25.194
Analysis,1,280,670,22.438,22.735
Analysis,1,239,670,24.761,24.849
Analysis,1,287,670,21.32,21.34
Analysis,1,245,670,24.491,24.59
Analysis,1,290,670,24.479,24.616
Analysis,1,254,670,15.76,15.781
Analysis,1,264,670,17.35,17.366
Analysis,1,285,670,15.97,15.995
Analysis,1,243,670,18.35,18.371
Analysis,1,287,670,21.43,21.452
Analysis,1,289,670,22.276,22.285
Analysis,1,255,670,21.349,21.356
Analysis,1,288,670,16.47,16.496
Analysis,1,235,670,19.31,19.33
Analysis,1,242,670,23.26,23.285
Analysis,1,285,670,22.24,22.28
Analysis,1,271,670,18.64,18.652
Analysis,1,283,670,18.92,18.932
Analysis,1,263,670,19.2,19.227
Analysis,1,251,670,18.63,18.65
Analysis,1,259,670,18.08,18.103
Analysis,1,285,670,19.77,19.789
Analysis,1,249,670,18.46,18.485
Analysis,1,261,670,19.37,19.395
Analysis,1,279,670,21.659,21.676
Analysis,1,248,670,19.24,19.266
Analysis,1,242,670,24.131,24.139
Analysis,1,255,670,25.047,25.179
Analysis,1,261,670,20.847,20.861
Analysis,1,277,670,23.58,23.606
Analysis,1,263,670,23.61,23.634
Analysis,1,259,670,17.55,17.587
Analysis,1,259,670,19.36,19.393
Analysis,1,283,670,16.91,16.934
Analysis,1,280,670,16.76,16.777
Analysis,1,277,670,18.25,18.271
Analysis,1,256,670,24.61,24.635
Analysis,1,253,670,15.72,15.739
Analysis,1,281,670,24.196,24.207
Analysis,1,252,670,27.655,27.751
Analysis,1,252,670,29.451,29.479
Analysis,1,280,670,23.446,23.578
Analysis,1,277,670,16.71,16.735
Analysis,1,274,670,16.58,16.595
Analysis,1,278,670,17.39,17.419
Analysis,1,239,670,15.18,15.198
Analysis,1,253,670,16.93,16.964
Analysis,1,261,670,23.598,23.672
Analysis,1,259,670,18.39,18.409
Analysis,1,272,670,17.35,17.371
Analysis,1,251,670,26.95,26.977
Analysis,1,245,670,15.9,15.916
Analysis,1,239,670,23.516,23.716
Analysis,1,242,670,24.121,24.29
Analysis,1,243,670,25.28,25.359
Analysis,1,251,670,26.87,26.915
Analysis,1,244,670,24.064,24.142
Analysis,1,253,670,28.61,28.762
Analysis,1,251,670,16.29,16.309
Analysis,1,244,670,24.003,24.144
Analysis,1,248,670,24.28,24.57
Analysis,1,248,670,24.73,24.756
Analysis,1,282,670,24.89,24.922
Analysis,1,262,670,29.23,29.258
Analysis,1,250,670,24.45,24.775
Analysis,1,284,670,28.18,28.298
Analysis,1,287,714,7.33,7.343
Analysis,1,244,670,24.898,24.913
Analysis,1,285,714,8.68,8.703
Analysis,1,285,670,25.899,26.007
Analysis,1,243,670,25.62,25.646
Analysis,1,285,714,7.67,7.682
Analysis,1,249,670,25.58,25.607
Analysis,1,284,714,8.79,8.798
Analysis,1,273,670,28.31,28.337
Analysis,1,285,715,7.52,7.537
Analysis,1,241,670,27.91,27.935
Analysis,1,288,714,9.143,9.149
Analysis,1,243,670,27.4,27.556
Analysis,1,287,714,7.74,7.853
Analysis,1,253,670,17.45,17.464
Analysis,1,265,670,27.19,27.218
Analysis,1,284,715,10.37,10.392
Analysis,1,282,670,29.36,29.382
Analysis,1,286,714,7.63,7.644
Analysis,1,256,670,27.44,27.525
Analysis,1,285,714,9.12,9.134
Analysis,1,285,670,23.53,23.654
Analysis,1,288,714,8.95,8.963
Analysis,1,244,670,27.12,27.202
Analysis,1,286,714,10.22,10.249
Analysis,1,284,670,16.09,16.117
Analysis,1,249,670,24.073,24.098
Analysis,1,269,670,20.37,20.418
Analysis,1,287,715,10.98,11.002
Analysis,1,264,670,22.18,22.207
Analysis,1,291,714,10.89,10.901
Analysis,1,256,670,24.04,24.061
Analysis,1,287,714,8.62,8.641
Analysis,1,276,670,23.59,23.638
Analysis,1,288,715,7.29,7.324
Analysis,1,269,670,21.7,21.732
Analysis,1,285,715,10.84,10.86
Analysis,1,289,670,16.55,16.571
Analysis,1,250,670,15.3,15.312
Analysis,1,285,715,10.89,10.918
Analysis,1,245,670,15.55,15.564
Analysis,1,286,714,7.65,7.711
Analysis,1,252,670,15.44,15.462
Analysis,1,287,715,9.04,9.06
Analysis,1,279,670,21.54,21.629
Analysis,1,285,715,9.21,9.225
Analysis,1,240,670,16.81,16.834
Analysis,1,288,714,9.2,9.226
Analysis,1,279,670,26.62,26.811
Analysis,1,251,670,17.59,17.609
Analysis,1,285,715,9.09,9.115
Analysis,1,246,670,20.454,20.47
Analysis,1,288,715,8.78,8.793
Analysis,1,250,670,24.76,24.877
Analysis,1,286,714,8.63,8.647
Analysis,1,288,670,21.58,21.602
Analysis,1,289,715,7.63,7.647
Analysis,1,280,670,22.86,22.887
Analysis,1,285,714,8.73,8.752
Analysis,1,271,670,28.21,28.235
Analysis,1,254,670,20.05,20.076
Analysis,1,287,714,7.27,7.287
Analysis,1,264,670,22.74,22.766
Analysis,1,287,715,7.35,7.37
Analysis,1,250,670,18.31,18.326
Analysis,1,287,715,7.29,7.307
Analysis,1,282,670,19.74,19.77
Analysis,1,286,715,9.15,9.174
Analysis,1,266,670,19.21,19.233
Analysis,1,285,715,8.52,8.538
Analysis,1,259,670,28.15,28.183
Analysis,1,266,670,16.34,16.362
Analysis,1,285,715,8.63,8.645
Analysis,1,278,670,19.04,19.059
Analysis,1,287,715,8.88,8.898
Analysis,1,254,670,17.17,17.196
Analysis,1,287,715,7.72,7.742
Analysis,1,252,670,15.43,15.441
Analysis,1,285,715,8.68,8.856
Analysis,1,247,670,16.8,16.826
Analysis,1,287,715,8.97,8.989
Analysis,1,253,670,26.99,27.017
Analysis,1,260,670,16.79,16.82
Analysis,1,286,714,7.23,7.244
Analysis,1,261,670,23.58,23.603
Analysis,1,287,715,7.5,7.517
Analysis,1,242,670,23.1,23.124
Analysis,1,292,715,7.68,7.703
Analysis,1,255,670,22.96,23.026
Analysis,1,285,714,10.54,10.561
Analysis,1,279,670,21.51,21.531
Analysis,1,286,714,7.93,7.973
Analysis,1,268,670,27.81,27.835
Analysis,1,268,670,23.94,23.965
Analysis,1,287,714,7.95,8.028
Analysis,1,244,670,19.75,19.79
Analysis,1,286,714,8.029,8.042
Analysis,1,258,670,16.75,16.771
Analysis,1,287,714,8.71,8.732
Analysis,1,252,670,16.82,16.851
Analysis,1,288,714,7.39,7.41
Analysis,1,251,670,16.059,16.075
Analysis,1,287,714,7.61,7.626
Analysis,1,289,670,23.977,24.018
Analysis,1,255,670,18.33,18.35
Analysis,1,286,714,8.7,8.72
Analysis,1,254,670,18.03,18.051
Analysis,1,287,714,7.65,7.671
Analysis,1,239,670,20.5,20.519
Analysis,1,286,715,8.79,8.814
Analysis,1,255,670,25.886,27.648
Analysis,1,291,714,7.62,7.638
Analysis,1,255,670,21.836,21.864
Analysis,1,286,714,7.42,7.436
Analysis,1,285,670,15.7,15.725
Analysis,1,258,670,18.17,18.192
Analysis,1,285,715,8.66,8.681
Analysis,1,244,670,23.54,23.567
Analysis,1,286,714,7.88,7.903
Analysis,1,285,670,27.45,27.471
Analysis,1,287,715,7.52,7.532
Analysis,1,280,670,29.59,29.62
Analysis,1,287,714,8.05,8.108
Analysis,1,289,670,24.93,24.965
Analysis,1,287,714,10.46,10.484
Analysis,1,270,670,18.41,18.42
Analysis,1,243,670,27.91,27.935
Analysis,1,288,714,7.69,7.709
Analysis,1,246,670,24.81,24.835
Analysis,1,285,714,7.84,7.858
Analysis,1,260,670,16.32,16.335
Analysis,1,288,715,7.63,7.654
Analysis,1,241,670,15.2,15.222
Analysis,1,287,714,7.45,7.462
Analysis,1,242,670,20,20.024
Analysis,1,286,714,7.62,7.644
Analysis,1,280,670,25.62,25.844
Analysis,1,245,670,17.38,17.398
Analysis,1,291,670,26.77,26.792
Analysis,1,286,715,7.29,7.299
Analysis,1,258,670,22.3,22.319
Analysis,1,288,715,9.23,9.245
Analysis,1,288,670,16.39,16.403
Analysis,1,287,714,8.67,8.689
Analysis,1,279,670,22.7,22.722
Analysis,1,288,714,8.58,8.607
Analysis,1,237,670,20.07,20.085
Analysis,1,287,715,8.57,8.589
Analysis,1,277,670,15.22,15.242
Analysis,1,272,670,18,18.021
Analysis,1,284,715,9.26,9.276
Analysis,1,256,670,28.92,29.276
Analysis,1,287,715,9.23,9.246
Analysis,1,252,670,20.65,20.667
Analysis,1,286,714,10.36,10.378
Analysis,1,282,670,17.01,17.031
Analysis,1,286,715,9.24,9.264
Analysis,1,251,670,16.62,16.641
Analysis,1,287,715,8.66,8.679
Analysis,1,265,670,15.87,15.89
Analysis,1,237,670,16.85,16.871
Analysis,1,286,715,7.65,7.672
Analysis,1,283,670,15.69,15.71
Analysis,1,284,715,9.23,9.246
Analysis,1,253,670,24.74,24.762
Analysis,1,285,715,11.02,11.045
Analysis,1,267,670,26.33,26.355
Analysis,1,287,715,7.71,7.722
Analysis,1,252,670,19.62,19.639
Analysis,1,287,714,7.71,7.748
Analysis,1,245,670,24.11,24.228
